machine_id,machine_type,plant_section,shift,maintenance_plan,temperature_c,vibration_mm_s,pressure_bar,operating_hours,days_since_service,load_percent,alarm_count_30d,critical_failure_30d
M-200274,,Process-A,Day,Standard,72.451,1.6558,6.097,1694.57,95.75,68.631,1,0
M-200275,Compressor,,Day,Standard,35.0,1.1438,6.413,5333.09,61.92,30.943,1,0
M-200276,Pump,Packaging,Day,Standard,60.222,2.348,5.215,7028.07,104.92,50.399,1,0
M-200277,Fan,Storage,Night,Standard,82.362,0.9944,7.612,4627.22,56.23,94.555,1,0
M-200278,Compressor,Packaging,Evening,Minimal,,1.3076,,4514.81,93.31,51.449,2,0
M-200279,Compressor,Packaging,Day,Enhanced,38.217,1.5008,,,27.42,66.766,,0
M-200280,Motor,Process-B,Evening,Standard,64.554,0.8321,6.388,8880.16,37.61,84.549,0,0
M-200281,Motor,Storage,Day,Standard,65.88,2.6269,2.798,4720.84,97.38,69.019,1,0
M-200282,Compressor,Packaging,Night,Minimal,78.554,,6.859,2918.15,92.21,70.658,0,0
M-200283,Fan,Utilities,Night,Standard,71.019,2.1173,7.558,8196.43,70.43,80.861,1,0
M-200284,Motor,Process-A,Night,Standard,64.265,1.4005,6.925,3482.44,32.64,48.198,0,0
M-200285,,Process-B,Day,Enhanced,64.778,2.1994,5.477,3560.98,53.93,87.776,1,0
M-200286,Pump,Storage,Evening,Enhanced,51.256,1.3909,8.893,,29.6,48.689,0,0
M-200287,Compressor,Packaging,Evening,Standard,54.338,3.501,6.803,8514.6,41.75,42.013,1,0
M-200288,Fan,Storage,Day,Standard,65.261,1.0511,4.435,2634.21,88.23,71.691,2,0
M-200289,Motor,Process-A,Day,Enhanced,65.416,3.1052,7.039,6130.55,22.03,57.291,1,0
M-200290,Pump,Utilities,Night,Standard,70.148,1.9569,5.809,10143.91,97.81,82.009,3,1
M-200291,Pump,Storage,Night,Standard,80.633,1.1578,4.586,10305.12,89.26,68.974,2,0
M-200292,Fan,Utilities,Evening,Enhanced,57.327,0.8093,3.59,6289.09,96.79,97.0,0,0
M-200293,Pump,Packaging,Evening,Standard,76.458,,6.757,8170.4,28.51,69.368,0,0
M-200294,Motor,Process-A,Night,Minimal,64.233,3.2949,8.249,4576.39,37.05,87.732,3,0
M-200295,Pump,Packaging,Night,Minimal,75.463,1.151,7.467,2485.3,70.02,77.556,1,0
M-200296,Compressor,Storage,Day,Standard,65.432,0.6622,7.572,377.02,55.19,85.602,1,0
M-200297,Fan,Process-B,,Standard,78.947,1.4347,5.044,3810.98,70.56,93.58,4,0
M-200298,Motor,Process-A,Day,Standard,76.428,2.032,4.336,3189.34,281.76,75.231,0,0
M-200299,Pump,Process-B,Day,Enhanced,78.842,0.8472,8.071,6351.65,40.8,63.488,2,0
M-200300,Pump,Process-B,Day,Minimal,73.214,1.0531,8.229,8880.84,155.3,86.644,4,1
M-200301,Motor,Process-A,,Enhanced,88.444,2.338,6.047,3098.12,44.85,74.426,1,0
M-200302,Pump,Utilities,Evening,Enhanced,55.49,2.4312,4.856,1235.05,53.02,77.909,1,1
M-200303,Pump,Packaging,Night,Standard,67.132,,7.756,6220.11,81.15,98.585,1,1
M-200304,Motor,Process-A,Night,Enhanced,80.453,3.0552,7.006,6861.57,4.97,78.558,1,0
M-200305,Compressor,Utilities,,Standard,65.133,1.1226,7.869,3428.23,71.76,,1,0
M-200306,Compressor,Packaging,Evening,Standard,89.598,0.815,4.978,2988.1,66.55,62.239,1,0
M-200307,Compressor,Process-B,Day,Standard,61.392,2.7135,5.522,4041.33,40.09,71.837,2,0
M-200308,Motor,Packaging,Night,Standard,66.559,1.4468,7.863,2410.06,24.68,89.866,0,0
M-200309,Motor,Packaging,Night,Enhanced,82.579,2.453,6.478,17157.56,79.53,85.723,0,0
M-200310,Motor,Process-B,Day,Standard,76.981,1.4865,7.034,3336.12,90.88,80.222,0,0
M-200311,Motor,Process-B,Day,Enhanced,73.62,2.9866,8.431,1821.77,20.08,83.531,1,0
M-200312,Compressor,Process-A,Evening,Enhanced,54.579,2.0503,7.848,16930.19,140.46,57.241,0,0
M-200313,Motor,Packaging,Evening,Standard,57.036,2.14,6.04,3641.38,49.82,76.851,2,0
M-200314,Fan,Packaging,Day,Standard,55.503,3.7527,6.199,11048.12,75.09,59.07,0,0
M-200315,Motor,Packaging,Day,Minimal,67.199,1.3971,9.247,5289.66,18.96,57.081,0,0
M-200316,Motor,Process-B,Night,Minimal,72.736,,6.413,7361.88,17.36,71.519,1,0
M-200317,Fan,Utilities,Day,Enhanced,73.897,2.0634,3.617,1425.4,50.86,66.715,2,0
M-200318,Compressor,Storage,Evening,Standard,83.094,3.0244,6.52,7086.01,88.03,67.493,1,0
M-200319,Compressor,Process-A,Evening,Standard,67.153,,6.453,8563.89,76.27,78.687,0,0
M-200320,Motor,Process-B,Day,Standard,60.488,0.8638,3.665,4526.79,,53.998,3,0
M-200321,Pump,Process-B,Day,Standard,62.779,1.7319,5.72,15716.74,82.75,81.323,3,1
M-200322,Pump,Packaging,Day,Enhanced,71.61,1.107,3.171,3976.26,16.98,63.875,0,0
M-200323,Compressor,Process-A,Day,Standard,55.274,3.1162,7.958,,156.06,76.199,3,1
M-200324,Compressor,Packaging,Night,Minimal,62.667,2.4782,4.478,780.46,110.55,73.412,1,0
M-200325,Motor,Storage,Night,Minimal,71.819,2.0375,9.873,1854.71,59.92,68.8,2,0
M-200326,Motor,Packaging,Evening,Minimal,,0.9181,7.809,4803.26,75.73,55.457,1,0
M-200327,Pump,,Day,Standard,64.041,2.0437,6.403,,85.84,60.676,1,0
M-200328,Motor,,Night,Standard,78.611,2.6309,5.365,1160.87,65.36,77.153,,0
M-200329,Fan,Process-B,Day,Standard,61.553,0.9462,9.02,4346.55,36.46,67.634,2,0
M-200330,Motor,Process-B,Day,Standard,82.652,0.9353,6.954,3116.2,72.53,85.308,7,1
M-200331,Fan,,Evening,Enhanced,70.493,1.4371,5.985,6297.87,33.7,65.299,1,0
M-200332,Compressor,Utilities,Day,Enhanced,65.714,1.0858,4.329,4097.36,17.96,53.241,0,0
M-200333,Motor,Packaging,Night,Standard,54.073,1.0425,6.041,5016.84,92.16,69.36,0,0
M-200334,Motor,Packaging,Day,Enhanced,82.947,2.6091,5.416,,52.03,,1,0
M-200335,Compressor,Packaging,Day,Standard,66.376,3.6489,8.139,740.11,238.35,71.911,0,0
M-200336,Fan,Utilities,Evening,Standard,45.677,2.5051,5.315,3787.54,71.17,69.246,1,0
M-200337,Pump,Packaging,Evening,Minimal,68.435,2.5092,4.79,6535.17,29.41,73.126,3,0
M-200338,Fan,Packaging,Day,Standard,65.347,1.8034,8.838,9692.12,45.19,67.967,3,0
M-200339,Motor,Packaging,Evening,Standard,44.252,1.3014,4.131,1997.68,69.27,91.833,3,0
M-200340,Motor,Utilities,Day,Standard,55.23,1.6327,5.557,2644.79,27.3,94.376,3,0
M-200341,,Utilities,Night,Enhanced,68.778,1.7335,6.261,1700.6,92.3,39.534,,0
M-200342,Compressor,Utilities,Night,Enhanced,63.34,0.7914,5.139,3158.32,43.41,62.695,0,0
M-200343,Compressor,Packaging,Night,Enhanced,73.632,,8.328,2127.33,23.54,74.653,2,0
M-200344,Motor,Utilities,Day,Standard,63.082,,9.687,5354.45,143.58,70.598,0,0
M-200345,Pump,Process-B,Day,Enhanced,79.95,1.084,8.778,2617.38,99.21,78.884,2,0
M-200346,Motor,Process-A,Evening,Minimal,76.004,,,1989.89,163.76,49.548,,1
M-200347,Motor,Utilities,Night,Enhanced,67.502,1.8926,4.25,10977.73,95.42,61.747,0,0
M-200348,Pump,Process-A,Evening,Standard,44.101,1.6525,7.421,917.55,36.04,77.828,5,0
M-200349,Pump,Utilities,Evening,Minimal,66.694,1.8529,6.309,4757.7,275.55,,2,0
M-200350,Fan,Utilities,Day,Minimal,68.766,1.0928,4.433,6037.52,77.9,59.972,1,0
M-200351,Compressor,Process-B,Day,Standard,78.055,2.6693,5.455,4066.48,95.71,68.381,2,0
M-200352,Fan,Process-B,Evening,Standard,66.973,2.067,8.811,5153.24,166.21,41.765,1,0
M-200353,Motor,,Night,Standard,86.477,2.2875,6.029,3279.44,69.53,80.04,1,0
M-200354,Compressor,,Night,Standard,54.434,3.2527,5.331,3613.68,32.69,61.108,3,0
M-200355,Pump,Process-A,Day,Enhanced,65.432,,7.845,5762.49,41.55,76.014,0,0
M-200356,Compressor,Process-B,Day,Standard,69.083,0.9622,7.16,9332.94,106.34,82.697,,1
M-200357,Fan,Process-B,Day,,37.836,1.8072,7.196,12169.87,58.22,61.89,1,0
M-200358,Pump,,Evening,Standard,62.534,,8.837,3615.36,225.38,77.391,2,1
M-200359,Compressor,Packaging,Day,Standard,78.272,1.1301,4.655,6354.61,48.32,60.312,1,0
M-200360,Motor,Process-A,Day,Standard,59.752,1.602,7.41,3336.49,146.01,43.896,1,0
M-200361,Motor,Process-A,Day,Standard,65.327,1.9828,5.288,3061.91,119.51,65.688,2,0
M-200362,Pump,Process-A,Day,Standard,67.933,1.4107,8.875,1548.25,154.7,70.972,1,0
M-200363,Pump,,Day,Standard,85.224,3.5983,6.885,758.66,64.76,76.222,3,1
M-200364,Motor,Packaging,Night,Enhanced,48.702,3.0625,5.583,1230.85,,103.349,2,0
M-200365,Fan,Utilities,Day,Standard,,1.3746,8.311,1540.54,148.41,69.497,,0
M-200366,Fan,Packaging,Evening,Standard,65.74,1.3957,7.808,3392.3,68.18,47.362,2,0
M-200367,Motor,Process-A,Day,Standard,60.547,,7.084,3749.87,205.28,,1,0
M-200368,Compressor,Process-B,Day,Standard,77.47,2.4253,7.041,1111.89,51.06,92.965,2,1
M-200369,Fan,Process-B,Evening,Standard,62.88,1.0295,5.315,5166.95,35.95,66.421,2,0
M-200370,Motor,Packaging,Evening,Standard,76.605,1.7634,,8340.23,29.27,74.722,2,0
M-200371,Compressor,Packaging,Day,Standard,63.164,1.5391,8.09,2743.93,91.13,90.574,4,0
M-200372,Compressor,Packaging,Evening,Standard,71.612,1.0243,7.488,5857.32,99.3,,5,0
M-200373,Pump,Process-A,Night,Standard,74.914,,8.263,8342.67,56.37,77.857,1,0
M-200374,Pump,Utilities,Evening,Minimal,84.315,1.3474,7.555,4014.91,30.91,109.344,0,0
M-200375,Motor,Process-A,Day,Enhanced,78.22,2.4304,5.319,2422.07,61.85,53.535,2,0
M-200376,Compressor,Packaging,Evening,Standard,61.208,2.314,3.447,5677.08,32.6,107.824,0,0
M-200377,,Packaging,Evening,Standard,71.713,1.3316,6.919,5061.77,26.7,97.77,2,0
M-200378,Motor,Process-B,Evening,Enhanced,80.378,3.1516,5.067,6723.38,39.62,,2,0
M-200379,Compressor,Packaging,Day,Minimal,67.065,,,4666.5,30.69,97.883,1,0
M-200380,Compressor,Utilities,Day,Standard,78.957,1.3533,7.839,,109.59,87.096,3,0
M-200381,Pump,Process-A,Evening,Enhanced,66.925,4.921,4.438,2747.06,192.75,44.91,3,0
M-200382,Motor,Storage,Day,Standard,73.962,1.0214,6.914,4831.19,1.73,79.778,1,0
M-200383,Pump,Process-B,Night,Standard,83.356,1.3014,5.084,3559.29,64.61,56.942,1,0
M-200384,Pump,,Evening,Standard,68.621,2.1669,7.259,8511.62,9.71,80.474,0,0
M-200385,Pump,Utilities,Day,Minimal,63.655,1.0786,6.83,8858.23,61.74,45.124,1,0
M-200386,Pump,Process-A,Night,Standard,64.958,0.9649,7.099,12528.16,62.57,63.184,1,0
M-200387,Motor,Storage,Night,Standard,59.36,3.4695,3.684,5046.63,119.88,95.886,,0
M-200388,Pump,Packaging,Day,Enhanced,70.807,2.1999,5.843,3599.54,110.56,,1,0
M-200389,Compressor,Utilities,Day,Enhanced,75.724,0.6127,7.465,2466.3,72.65,88.876,3,0
M-200390,Motor,,Night,Standard,,2.1488,,7484.97,81.77,74.143,4,1
M-200391,Compressor,Process-B,Night,,78.425,1.7458,6.494,4716.94,92.89,70.655,1,1
M-200392,Fan,Utilities,Evening,Enhanced,59.817,1.4351,5.018,,,89.498,2,0
M-200393,Compressor,Packaging,Day,Standard,74.908,1.5674,5.257,6039.57,28.54,50.832,0,0
M-200394,Fan,Process-B,Evening,Minimal,71.014,1.406,10.482,3016.92,79.87,63.95,1,0
M-200395,Pump,Process-B,Night,Standard,79.623,1.9416,7.286,1122.77,188.27,85.36,4,1
M-200396,Motor,Packaging,Evening,Minimal,87.586,1.2514,6.376,3638.39,90.09,78.373,1,0
M-200397,Pump,Process-B,Day,Standard,56.557,1.3932,4.672,1494.65,71.98,103.17,1,0
M-200398,Compressor,Utilities,Day,Enhanced,60.612,3.5845,6.227,4444.76,115.89,77.658,1,1
M-200399,Compressor,Process-B,Night,Standard,,,6.017,7176.52,53.39,75.925,0,0
M-200400,Motor,Storage,Night,Standard,66.733,3.9209,8.736,4522.66,6.53,89.277,0,0
M-200401,Fan,Process-A,Day,Standard,81.775,1.4308,7.973,6714.58,271.81,91.58,3,1
M-200402,Motor,Packaging,Evening,Minimal,69.35,3.1505,6.23,6892.46,81.31,64.305,1,0
M-200403,Compressor,Process-B,Night,Minimal,65.014,,4.893,8063.31,111.2,63.798,,0
M-200404,Compressor,Process-B,Day,Standard,59.824,0.7142,7.579,2592.9,,80.439,2,0
M-200405,Compressor,Packaging,Evening,Enhanced,68.794,0.7647,6.255,1233.49,54.39,92.416,1,0
M-200406,Motor,Utilities,Day,,72.74,1.0259,6.987,4125.36,28.72,88.371,0,0
M-200407,Motor,Utilities,Day,Standard,67.076,2.7428,6.522,3497.24,19.58,104.286,0,0
M-200408,Pump,Process-A,Evening,Enhanced,69.554,1.4685,5.566,4315.23,94.86,71.415,2,0
M-200409,Fan,Packaging,Day,Standard,75.192,2.0083,5.8,7619.61,152.81,67.711,2,0
M-200410,Motor,Process-B,Day,Enhanced,63.717,1.4862,7.942,2610.31,42.44,72.135,2,0
M-200411,Fan,Packaging,Night,Standard,77.114,1.3781,7.385,4147.9,22.46,60.05,1,0
M-200412,Motor,Packaging,Day,Minimal,73.181,,8.076,3396.29,46.02,81.917,,0
M-200413,Pump,Packaging,Day,Standard,54.591,2.8835,8.043,6418.22,66.22,82.725,0,0
M-200414,Compressor,Storage,Day,Standard,72.917,1.9086,5.686,3552.72,103.05,90.652,0,0
M-200415,Pump,Process-B,Day,Enhanced,51.296,1.2635,7.183,1756.08,99.93,44.705,1,0
M-200416,Compressor,Process-B,Day,Enhanced,55.121,2.4397,4.239,2322.52,108.22,68.489,1,0
M-200417,Pump,Process-A,Day,Standard,48.705,1.0426,7.522,5101.28,75.98,87.717,0,0
M-200418,Pump,Packaging,Evening,Standard,81.306,1.013,8.858,4837.62,207.63,74.111,4,0
M-200419,Fan,Packaging,Evening,Standard,57.835,2.1525,4.888,6539.48,61.1,42.755,1,0
M-200420,Pump,Utilities,Evening,Standard,56.804,1.3459,6.564,2084.94,330.97,73.28,2,0
M-200421,Pump,Process-B,Day,,56.123,1.1481,6.971,1400.3,41.47,52.522,0,0
M-200422,Motor,Process-B,Evening,Standard,64.374,3.3692,5.37,12824.39,76.34,88.357,2,0
M-200423,Motor,Process-A,Night,Standard,45.288,2.0657,3.967,4673.15,122.18,94.59,1,0
M-200424,Fan,Utilities,Night,Minimal,54.755,2.2553,4.163,5782.28,115.36,80.955,2,0
M-200425,Fan,Process-B,Day,Minimal,69.81,,6.551,6030.25,58.27,73.148,5,0
M-200426,Motor,,Evening,Enhanced,63.282,1.4692,6.232,7329.95,41.17,57.707,2,0
M-200427,Compressor,Process-B,Day,Enhanced,69.033,2.8765,8.005,,46.05,66.343,1,0
M-200428,Compressor,Storage,Day,Standard,78.148,1.4894,5.075,1558.66,144.39,80.059,2,1
M-200429,Pump,Process-B,Night,Standard,76.716,2.9313,7.584,,45.19,108.68,0,0
M-200430,Pump,Process-B,Evening,Standard,68.14,1.5447,4.974,5204.81,78.48,71.799,1,0
M-200431,Motor,Utilities,Evening,Standard,59.358,2.8781,9.056,1651.09,62.88,68.393,1,0
M-200432,Pump,Packaging,Day,Standard,69.146,1.4422,5.438,1648.82,45.44,51.179,2,0
M-200433,Pump,Utilities,Day,Minimal,64.705,1.011,7.096,7429.89,36.15,,1,0
M-200434,Compressor,,Evening,Standard,80.381,0.8549,7.965,5681.76,83.01,61.852,0,0
M-200435,Pump,Process-B,Day,Standard,83.486,1.0077,6.041,1832.17,326.46,51.696,1,1
M-200436,Fan,Process-B,Night,Minimal,66.751,1.0896,8.028,731.96,135.01,73.176,2,0
M-200437,Fan,Process-B,Evening,Standard,59.049,4.2415,4.312,6858.59,141.37,84.05,2,1
M-200438,Motor,Utilities,Night,Enhanced,67.941,2.7496,6.986,4225.71,162.24,73.765,,0
M-200439,Pump,Process-A,Day,Enhanced,64.951,2.1175,6.179,3307.33,,73.958,2,0
M-200440,Motor,Packaging,Evening,Standard,88.236,1.4892,7.256,5142.14,53.31,56.868,1,0
M-200441,Pump,Process-B,Day,Standard,51.574,1.9301,7.12,3434.81,74.23,108.443,1,0
M-200442,Motor,Process-A,Night,Standard,72.524,0.9992,5.479,4309.38,114.2,,0,0
M-200443,Fan,Utilities,Day,Standard,65.319,,8.362,2144.26,22.44,79.911,1,0
M-200444,Pump,Storage,Evening,Standard,60.683,2.0811,7.987,9147.28,120.39,90.806,0,0
M-200445,Fan,Packaging,Day,Enhanced,64.331,4.1419,5.097,5334.88,93.62,72.836,0,0
M-200446,Fan,Packaging,Evening,Standard,60.453,2.2479,6.099,4241.26,74.53,72.378,3,0
M-200447,Fan,Process-B,Day,Standard,71.268,3.337,,5268.13,84.57,75.486,5,0
M-200448,Fan,Utilities,Evening,Standard,72.119,1.0045,8.997,4518.26,49.8,73.818,1,0
M-200449,Fan,Process-B,Day,Standard,68.5,1.0122,4.122,848.37,182.1,51.604,0,0
M-200450,Pump,Utilities,Day,Minimal,51.971,1.3949,8.656,9261.58,,53.835,2,0
M-200451,,Process-B,Night,Standard,81.725,0.8958,7.408,5995.18,68.69,78.517,0,0
M-200452,Fan,Utilities,Evening,Enhanced,77.647,1.9218,6.16,5210.69,24.09,53.486,2,0
M-200453,Pump,Packaging,Night,Enhanced,71.759,3.0234,6.062,3798.75,16.86,52.011,2,0
M-200454,Motor,Process-A,Evening,Enhanced,68.688,2.3831,6.991,3537.47,,69.04,0,0
M-200455,Fan,Process-A,Evening,Standard,70.454,1.7362,5.423,4670.75,91.46,76.059,2,0
M-200456,Fan,Process-B,Evening,Standard,80.675,0.9539,5.623,3641.87,41.71,83.11,6,0
M-200457,Fan,Process-A,Evening,Enhanced,69.481,3.3272,5.743,5281.89,33.77,94.842,1,0
M-200458,Compressor,Packaging,Day,Standard,,0.7781,7.189,5589.73,132.2,90.521,2,0
M-200459,Pump,Process-B,Day,Minimal,63.562,2.2359,5.724,2853.28,11.1,68.082,1,0
M-200460,Motor,Packaging,,Standard,80.232,1.4363,7.003,5956.4,69.65,88.61,0,0
M-200461,Motor,Process-A,Evening,Enhanced,70.314,1.4696,6.354,3779.99,21.18,95.948,,0
M-200462,Pump,Process-A,Day,Enhanced,56.466,1.1163,8.183,6203.57,180.71,71.13,1,0
M-200463,Pump,Process-B,Day,Standard,,3.4488,2.48,10383.86,87.7,72.403,0,0
M-200464,Pump,Process-B,Evening,Standard,75.127,1.8179,7.185,3362.61,21.27,68.473,0,0
M-200465,Motor,Packaging,Day,Enhanced,53.564,2.552,6.39,3517.24,68.42,75.625,0,0
M-200466,Pump,Process-A,Day,Standard,49.199,3.4979,6.62,5996.76,60.29,91.036,2,0
M-200467,Pump,Packaging,Day,Minimal,72.228,1.082,7.904,5815.05,192.96,78.734,3,0
M-200468,Motor,Process-B,Day,Standard,74.413,0.7779,5.692,2806.25,199.48,66.86,1,1
M-200469,Compressor,Utilities,Day,Enhanced,70.524,0.7261,9.117,2922.72,85.99,75.609,2,0
M-200470,Fan,Process-A,Evening,Enhanced,51.523,2.3333,8.159,7918.31,89.98,62.662,2,1
M-200471,Compressor,Process-A,Night,Minimal,70.32,2.2225,8.207,8618.16,33.84,62.285,2,1
M-200472,Pump,Packaging,Day,Standard,90.268,1.418,5.964,2716.58,119.26,36.63,1,0
M-200473,Motor,Utilities,Night,Minimal,56.22,0.7513,8.582,10230.92,,94.215,2,0
M-200474,Compressor,Process-B,Day,Enhanced,79.681,1.4482,6.984,9862.26,40.18,68.604,3,0
M-200475,,Process-A,Day,Minimal,,,5.006,2836.46,52.39,98.829,1,0
M-200476,Motor,Process-A,Night,Standard,80.223,2.1312,7.772,8159.96,151.2,83.717,1,1
M-200477,Fan,Process-B,Day,Enhanced,74.656,1.0801,4.678,3337.19,148.35,77.12,1,0
M-200478,Pump,Process-B,Evening,Standard,71.183,1.5441,6.057,6875.29,8.26,65.082,3,0
M-200479,Motor,Storage,Night,Standard,,4.5859,7.324,4596.49,45.24,82.225,,0
M-200480,Pump,Utilities,Day,,65.225,2.3971,5.026,,19.97,61.534,1,0
M-200481,Fan,Process-B,Day,Enhanced,74.088,2.1074,5.678,7152.45,84.0,84.495,0,0
M-200482,Pump,Storage,Evening,Enhanced,62.725,1.5063,8.635,2025.72,,57.506,1,0
M-200483,Pump,,Day,Minimal,66.609,,8.22,2522.26,128.13,86.534,3,0
M-200484,Pump,Process-B,Day,Standard,78.546,,5.593,,90.2,71.858,1,0
M-200485,Motor,Process-A,Day,Standard,73.727,0.752,7.581,4554.73,220.33,59.79,1,0
M-200486,Motor,Packaging,Evening,Minimal,74.472,1.4741,,5588.7,36.23,48.7,0,0
M-200487,Motor,Utilities,Night,Enhanced,77.369,1.5818,5.412,8516.46,104.88,75.545,2,0
M-200488,Motor,Process-B,Night,Standard,61.093,1.9817,5.56,5583.86,154.91,53.741,4,0
M-200489,Fan,Process-A,Day,Enhanced,61.041,1.5268,7.43,3011.47,15.95,95.994,2,0
M-200490,Compressor,Process-B,Evening,Standard,46.606,1.9157,6.203,7151.28,19.41,66.087,3,0
M-200491,Motor,Utilities,Day,Minimal,90.236,1.121,3.955,643.27,122.32,66.327,2,0
M-200492,Compressor,Process-A,Day,Enhanced,82.712,0.8562,5.952,18000.0,20.2,104.744,1,1
M-200493,Motor,,Day,,89.594,1.3772,,8116.26,148.47,98.351,1,1
M-200494,Motor,Storage,Day,Standard,56.319,2.8311,5.334,15433.3,63.65,37.073,2,0
M-200495,Fan,Process-A,Evening,Standard,,4.1209,6.429,2798.26,27.23,56.935,1,0
M-200496,Pump,Utilities,Night,Enhanced,74.989,2.2502,6.508,6791.49,63.64,79.978,1,0
M-200497,Motor,Process-B,Day,Standard,,2.8655,6.923,,76.6,60.493,3,0
M-200498,Motor,,Evening,Standard,73.676,1.4469,8.049,5318.17,102.28,68.628,1,0
M-200499,Motor,Process-B,Evening,Enhanced,55.506,,6.321,5342.55,100.79,53.876,1,0
M-200500,Pump,Utilities,Day,Enhanced,,2.6795,4.774,2819.8,226.01,75.821,3,0
M-200501,Fan,Packaging,Day,Standard,76.013,3.2675,8.529,12060.89,69.69,90.048,0,0
M-200502,Motor,Utilities,Night,Standard,79.537,2.5586,6.343,8924.77,21.45,79.62,1,0
M-200503,Pump,Process-A,Day,Standard,63.209,1.5564,6.619,6576.09,28.53,79.736,0,0
M-200504,Pump,Storage,Day,,72.331,3.7443,6.032,13461.3,98.97,60.7,0,0
M-200505,Pump,Packaging,Day,Enhanced,67.576,2.3288,9.134,1292.95,45.41,,3,0
M-200506,Motor,Process-B,Day,Standard,80.4,1.1994,6.618,8886.59,17.75,92.88,2,0
M-200507,Compressor,Packaging,Night,Standard,43.322,1.7269,5.349,5410.85,,61.675,2,0
M-200508,Pump,Process-B,,Standard,,4.421,8.776,6637.35,33.12,63.206,2,0
M-200509,Compressor,Utilities,Night,Standard,49.454,1.6625,,2110.04,84.37,57.05,,0
M-200510,Compressor,Process-B,Evening,Minimal,60.895,2.4754,7.397,7077.69,227.38,71.677,1,0
M-200511,Compressor,Process-A,Night,Standard,56.975,1.7923,,4251.63,114.19,81.783,4,0
M-200512,Compressor,Packaging,Night,Standard,70.588,3.7711,4.863,10149.98,47.31,49.549,1,0
M-200513,Fan,Utilities,Night,Standard,69.976,1.3141,5.087,3012.19,,68.714,0,0
M-200514,Fan,Process-A,Day,,73.067,0.92,8.599,6491.55,284.2,51.962,2,0
M-200515,Compressor,Process-B,Day,Minimal,47.981,1.2582,9.731,5066.28,54.82,72.576,1,0
M-200516,Motor,,Evening,Enhanced,64.271,1.4473,5.228,4561.07,70.83,56.334,3,0
M-200517,Compressor,,Evening,Enhanced,61.448,1.7497,6.596,2811.55,44.78,84.378,1,0
M-200518,Pump,Process-A,Day,Minimal,60.457,1.4365,6.819,3818.67,93.29,88.838,2,1
M-200519,Motor,Storage,Night,Standard,,3.7254,8.242,6125.58,35.98,62.896,1,0
M-200520,Compressor,Process-A,Night,Standard,73.002,1.7451,6.539,6749.51,65.6,71.731,2,0
M-200521,Motor,Utilities,Night,Minimal,64.544,1.8044,6.154,3126.27,38.44,84.502,3,0
M-200522,Pump,Process-A,Evening,Standard,84.977,1.35,7.625,4016.14,61.13,75.826,0,0
M-200523,Pump,Process-B,Night,Standard,78.904,0.8487,5.444,6072.21,5.07,72.718,0,0
M-200524,Compressor,Utilities,Night,Standard,63.077,1.9908,7.233,1873.52,166.08,59.827,2,0
M-200525,Compressor,Storage,Day,Standard,62.631,1.4875,5.747,8470.04,201.28,49.247,2,0
M-200526,Motor,Process-A,Day,Standard,51.245,1.3645,6.981,4662.47,114.27,74.115,4,0
M-200527,Compressor,Utilities,Day,Minimal,68.52,1.6992,5.522,4414.8,,89.486,1,0
M-200528,Pump,Process-B,Evening,Standard,73.929,,8.441,8693.54,100.27,83.847,3,1
M-200529,Motor,Process-A,Evening,Standard,72.627,2.1585,7.787,3747.91,20.56,69.427,0,0
M-200530,Motor,Process-B,Day,Minimal,94.168,1.8325,5.806,7362.39,122.87,35.399,1,0
M-200531,Fan,,Day,Standard,59.894,3.3132,8.502,5539.77,69.41,71.783,2,1
M-200532,Pump,Process-B,Day,Standard,,3.6265,7.831,2542.21,,,5,1
M-200533,Pump,Packaging,Evening,Enhanced,78.45,2.1136,7.781,9634.93,84.73,85.639,2,1
M-200534,Compressor,,Evening,Enhanced,67.859,1.3024,7.374,5562.65,107.75,62.093,3,0
M-200535,Pump,Process-A,Day,Standard,72.065,2.6929,6.482,9591.42,231.71,78.896,1,0
M-200536,Compressor,Process-A,Day,Standard,64.962,1.4776,,1361.45,,79.707,1,0
M-200537,,Utilities,Evening,Enhanced,84.86,2.3674,3.753,3229.93,71.73,80.758,1,0
M-200538,Motor,Process-A,Night,Minimal,62.109,0.8508,7.005,4419.89,126.98,86.177,3,0
M-200539,Fan,Process-B,Day,Standard,66.59,1.797,8.744,2578.18,48.25,60.013,1,0
M-200540,Motor,Packaging,Day,Enhanced,78.878,1.7688,4.384,7545.02,201.8,72.72,0,0
M-200541,Motor,Storage,Day,Minimal,68.361,1.5581,5.147,6478.79,33.73,69.2,2,0
M-200542,Compressor,Process-B,Night,Standard,66.239,1.1565,5.914,7783.0,137.3,101.521,4,1
M-200543,Pump,Process-B,Night,Standard,79.801,1.9364,4.842,5776.1,35.53,86.416,2,1
M-200544,Motor,Process-A,Evening,,82.081,1.7026,,9196.59,,59.77,3,1
M-200545,Motor,Packaging,Day,Enhanced,62.515,1.414,5.284,4944.18,56.71,101.56,3,0
M-200546,Fan,Process-A,Night,Minimal,81.073,0.7309,8.802,,127.0,63.979,2,1
M-200547,Pump,Process-B,Day,Standard,64.46,,7.113,7482.22,64.36,63.189,0,0
M-200548,Motor,Process-B,Evening,Standard,69.334,2.3395,9.291,6193.21,60.16,,4,0
M-200549,Motor,Packaging,Day,Standard,76.089,2.8714,4.842,1502.7,92.58,50.558,2,0
