feature_1,feature_2,feature_3,feature_4,feature_5,target
1.94068,-0.81991,1.35856,0.51182,3.27658,0
-2.08759,0.41552,-2.99837,1.40077,2.02134,0
-0.37523,2.37658,-0.12232,2.10515,-1.29798,0
2.41872,-1.73226,0.64205,5.5812,0.81555,0
0.84258,0.544,-0.85474,0.12721,2.53364,0
-1.40791,-1.07559,0.10812,2.50266,2.74534,0
-1.52462,2.69639,-0.9987,4.70111,1.68634,0
-3.3543,2.82442,-0.68717,4.65574,2.66199,0
-2.00494,3.38934,0.23133,3.31997,0.80488,0
-0.99606,2.70627,0.12857,0.7831,2.46791,1
3.4121,-3.40446,0.00889,2.42293,1.56708,0
1.30501,-1.75347,-0.26705,0.36111,1.40622,0
3.15399,1.62354,-0.181,3.54987,1.38587,1
0.21545,0.69212,-0.07286,4.0353,1.67611,1
1.91383,1.96054,-1.7771,4.5159,3.23889,1
2.0043,0.29135,-0.54152,4.72289,2.849,1
1.48714,3.07896,2.09387,3.38515,1.85385,1
0.79498,0.19586,1.2428,4.04004,1.66792,1
-3.07941,-3.05409,-0.42624,0.9823,1.71746,0
2.63734,2.7435,0.86149,3.43405,2.40357,1
-0.15267,-3.46733,1.28701,0.37666,4.24114,0
-1.38425,1.29724,0.75119,5.77951,1.63612,1
0.11193,-0.82066,1.94662,3.27843,1.39107,0
3.4066,3.08023,1.41831,3.25051,1.48781,1
2.07226,-1.27619,3.24738,0.13029,1.32579,0
-1.9935,2.5456,1.12412,3.2479,2.41887,0
-0.93838,-1.69952,-1.10134,0.51477,1.9735,1
-1.55472,1.74571,0.79223,1.02902,2.35923,0
-2.55647,-2.18017,2.60466,0.08558,3.2316,1
0.56363,1.15834,-0.23499,2.6832,2.5221,0
-1.40915,-3.24032,-0.25927,1.70804,2.69311,1
1.17262,-3.23114,1.1671,3.23115,3.07727,0
1.16084,-0.34542,-0.28072,5.1371,0.92242,1
-0.2678,-1.51275,-1.54973,1.05953,0.51471,0
0.75656,0.04456,-1.13052,5.69416,3.81923,1
3.38233,0.62958,-0.75145,3.32802,0.23836,0
-0.98987,3.03199,0.38396,5.32468,2.15105,0
-2.60794,3.1024,-0.3886,1.72449,1.33929,0
-2.41701,-3.00311,-1.74522,2.17182,2.21281,0
-1.80508,-0.573,-0.13151,0.44723,1.50464,0
-1.75235,-1.98431,1.63923,0.80436,-0.29725,1
1.23964,1.17379,0.58459,4.95171,0.80937,1
0.54775,2.04559,1.3643,2.71686,1.33972,0
-1.49753,-0.72616,-1.1615,0.09531,2.06364,0
3.46943,-1.06235,0.53966,4.44963,2.28857,0
3.35287,-2.90264,1.03579,0.53919,2.10611,0
-0.28156,-0.43408,0.27868,4.81009,1.50481,0
-2.61218,1.53996,2.2114,5.24367,1.02239,1
-1.48574,-2.24885,-0.05719,5.5334,2.19461,0
-1.83125,-3.39619,0.13118,0.96579,1.17799,0
-0.2738,2.3456,-0.14105,0.32298,1.08169,1
2.72874,-0.9677,-0.58369,3.89909,0.12702,1
2.28992,2.57866,0.36143,3.51616,3.15617,1
0.96996,-1.4041,1.11147,1.71335,1.02724,0
0.70132,1.23303,3.19114,3.38099,2.39008,1
-0.73737,-1.13821,-0.78518,1.66455,1.25804,1
1.31796,-2.25323,0.83749,4.33627,3.32958,1
1.94341,1.41928,2.05406,0.96519,1.51651,0
0.64682,0.40711,-0.5789,4.51443,1.53687,1
-3.03807,-0.08152,0.16691,4.60165,3.1031,0
-3.21987,2.91812,0.12741,2.40177,3.06287,0
1.04617,0.27768,-0.53218,4.53787,2.46329,0
-2.92932,0.0124,-0.59864,1.3959,1.19213,0
-1.1326,-0.92838,-1.32818,4.956,2.44884,0
0.23156,1.9452,-0.96196,5.95822,3.0045,0
-2.75183,-0.15305,-0.83848,2.33,1.66121,0
1.68608,1.37353,1.28088,5.94308,2.60725,1
3.3915,-2.92943,0.86159,5.88805,1.36777,0
-1.21152,-1.53387,-1.87479,3.90205,1.14278,0
0.05665,-0.12541,-0.3379,3.80387,3.11671,1
-1.61362,-1.22212,1.65049,5.63765,2.84662,1
1.25759,-0.53313,-0.17345,4.16439,2.24686,1
-2.59267,-3.14261,1.41907,4.19657,0.88203,1
-0.79474,0.37504,-0.18724,5.91682,3.08214,1
3.02266,-1.17786,-0.10456,3.13168,3.75239,0
1.97191,0.36178,-0.25484,2.82643,2.35137,1
-3.18084,-2.39069,0.19438,0.78762,2.52946,0
1.9384,1.77175,-2.20627,4.27671,0.28681,0
-3.27291,0.55191,-0.78184,2.7216,3.27801,0
-1.60776,-0.14907,0.70951,2.02634,2.13162,0
-3.17579,-0.69257,1.6377,1.70323,3.05982,0
0.90095,-2.02644,-0.1241,4.57079,2.98525,0
2.46024,2.6537,2.18824,1.65766,3.84755,1
1.97476,-0.55005,0.93857,0.05615,2.20644,0
-2.63647,2.51004,-0.91387,4.58887,2.24425,0
3.06438,-3.3792,1.9388,3.6688,1.77186,0
2.60694,0.93259,-0.36995,0.01899,1.30962,0
1.76879,-2.45813,0.51727,3.31121,3.51827,0
2.19524,-0.272,-0.55932,5.54846,1.09058,1
-1.53858,-2.14502,-0.30751,3.54281,2.15102,0
1.527,-0.22315,1.23926,2.64081,1.89927,1
-0.12721,2.0746,0.00249,1.55868,4.76255,0
0.64913,-2.61185,-0.19817,4.05133,2.09519,1
-1.56362,1.75472,-0.07092,2.42818,0.28502,0
1.8259,0.6911,0.6402,5.31206,3.07118,1
-2.97418,-0.63106,1.71052,5.46383,2.16773,1
-0.91348,0.55678,0.04185,2.70693,1.51194,0
-0.72116,-1.05545,-0.60419,1.67847,1.49861,0
0.24779,-3.37788,0.3979,4.91147,1.24008,1
-1.25225,1.04158,-1.09932,0.8738,1.18896,0
1.27798,-2.46597,-0.17348,4.24942,3.82868,1
1.54594,-1.30818,0.93248,3.56975,3.74693,0
-2.95293,-2.33951,0.40247,3.47704,2.97575,0
2.06244,-2.95439,-1.04825,5.39191,1.5714,1
1.35485,-1.18622,-1.03021,4.97887,0.87975,0
1.3287,-1.48231,-0.80415,3.25004,2.42018,0
2.82795,2.68436,0.46173,3.9593,4.00101,1
-0.81035,2.49993,-0.4617,5.33709,1.86288,0
-2.05494,-2.18185,0.15717,3.74969,2.32658,0
-2.64934,-0.36151,-0.99734,3.80199,2.36288,1
0.6687,-0.64227,-1.98741,2.30437,1.79494,0
-1.2087,1.4538,0.038,1.87618,2.52797,0
-1.73915,-2.25664,2.76981,5.99749,2.40223,1
2.58892,-2.95777,-0.93487,4.63302,4.60909,1
0.3341,-0.69613,-0.28736,3.04233,1.94066,0
-0.16235,0.14188,-1.42706,3.29652,1.05755,0
0.94401,-2.74673,-0.5029,2.46937,3.62816,0
-1.51106,2.18528,-0.37459,5.66873,2.58269,0
3.11243,-3.22854,0.39168,4.36055,4.31601,1
1.98855,-2.40605,-1.52419,3.91939,-0.16424,1
-1.06936,-3.06987,-1.72736,0.00118,0.76912,1
1.98408,2.36706,0.42528,2.26639,1.13283,1
-2.32748,0.96697,-0.39284,4.06112,1.67606,1
0.50974,-2.10434,-0.94624,4.10245,4.82706,0
-1.01889,2.19414,1.2461,4.11774,2.07887,1
1.88333,2.45126,0.00819,4.63793,0.7128,0
-0.79248,1.69859,-2.23092,5.54292,3.6524,0
-0.92308,-3.24666,1.16956,1.97109,1.41997,1
-2.12844,-0.13152,-0.53549,1.91698,2.96875,0
-2.77703,2.50542,-0.07961,4.75295,3.59184,0
0.91674,1.67726,-0.87609,2.93021,3.23357,1
-1.74025,1.51525,0.83975,1.51959,3.93169,0
3.14548,-1.79255,-1.44731,2.47252,0.27567,1
2.16316,1.50902,0.78904,2.3958,1.68434,1
-0.05174,2.24857,-2.04631,3.73195,1.62579,0
-3.26676,-1.73415,2.65652,2.60304,2.16136,0
0.28976,1.94127,1.68997,0.83661,1.71728,1
0.39367,-3.33945,-0.76087,0.31928,2.02187,0
-3.38682,3.21259,-0.57804,2.37892,4.15454,0
-2.56936,1.31023,-1.85448,2.87044,3.78146,0
1.97403,-1.18674,1.05479,1.15623,2.21914,0
-1.85995,0.30189,0.35536,1.89014,2.30467,1
0.23021,-3.16558,-0.97093,2.64968,3.17279,0
-2.88356,-0.46852,-0.0811,2.48596,0.93732,0
3.1911,-2.78859,0.69539,4.54807,3.51102,1
-2.49002,1.82077,0.31806,4.29088,2.00473,1
1.19589,-0.08296,0.88918,0.32919,2.34799,1
-3.20277,0.30125,1.00111,2.40522,2.40922,0
0.83151,-2.7467,-0.09884,3.25306,2.76062,0
-0.227,-1.27637,2.32901,1.40148,1.01484,0
-0.44693,-1.19613,0.5379,3.46435,0.56271,0
0.73003,3.29446,0.89579,1.04968,0.36568,1
-1.26709,1.20736,-1.29658,4.80287,1.29218,0
-2.30052,-0.2506,2.35116,1.71448,3.36912,0
-2.59561,-2.16617,0.03591,4.8258,2.2037,0
-2.19996,3.23397,0.63201,3.78825,-0.09749,0
2.03946,3.1315,-1.26043,1.88118,4.34644,1
-1.19536,-2.30783,1.68545,3.82191,1.01607,0
-0.33443,1.67297,-1.8916,0.29008,1.52312,0
2.71718,1.18895,-0.40243,5.61785,1.59578,0
0.46425,1.98277,1.02639,1.30415,2.96655,1
-1.29854,2.32099,0.26072,4.94407,0.42275,1
1.65073,-2.04513,-2.56298,2.7239,2.43053,0
-0.62085,-2.51717,-1.69396,5.93882,2.97253,1
1.21914,2.36086,2.66131,2.3569,2.06134,1
1.36783,2.21863,-0.70084,3.37272,2.39837,1
0.02379,3.33157,-0.00173,4.83565,1.29225,1
2.14487,-0.1622,0.13028,0.53311,2.73779,0
0.83625,-1.16284,-0.5903,1.86371,2.90331,1
-3.16976,-2.32949,0.47997,0.74859,1.55011,0
2.98797,0.58032,1.82627,1.74931,0.14724,0
-2.58902,-1.67595,1.30598,5.45055,0.98272,1
1.65286,2.50848,-1.02613,2.05439,1.55382,1
1.50554,0.40128,2.02186,1.51477,1.06845,1
-0.13549,1.6419,-0.11532,4.5378,3.65861,0
1.13196,-0.69199,-0.33231,0.35505,3.89186,0
-1.81506,-1.63128,-1.48506,1.21141,2.11483,0
0.94357,0.99955,0.46545,5.10676,2.76549,1
1.22263,-1.15983,-0.90726,4.91495,1.23988,0
-2.65167,-2.2854,1.52156,0.14371,3.35845,1
1.40854,-1.70029,-1.2359,1.54573,2.32167,0
-2.07005,1.90982,0.7794,3.85523,2.68041,1
-1.32566,3.15024,1.62036,1.62047,1.62486,0
0.09042,1.66834,1.49393,5.69618,1.79511,1
-2.31185,2.39138,0.05271,0.99926,1.96048,1
-1.96696,0.58185,2.31792,5.4791,1.45735,1
3.10883,-0.83719,0.92321,5.08491,0.79253,0
1.65812,2.76348,-0.195,4.06447,1.9141,1
-2.53838,-1.01191,-0.15582,0.56106,2.43271,0
1.99019,-0.51565,-0.51912,5.73988,2.37228,0
2.81478,0.71003,-0.23584,3.56484,2.02249,0
0.09433,-2.87872,-1.41143,0.06044,2.05964,0
-2.97367,-1.79547,-1.79445,3.12438,3.96129,0
1.5403,-3.37424,-1.10721,2.24063,2.538,0
0.05635,3.37533,-0.97046,1.91517,1.93969,0
3.2183,-0.27625,-0.75865,4.67803,1.34754,0
0.30756,0.58282,0.86371,0.67607,3.09822,0
1.16093,-2.64904,1.68335,4.56508,0.63285,0
-2.26505,3.36228,1.36682,2.47163,1.73127,1
0.82628,1.34362,-1.05476,1.16346,1.51048,0
2.50077,1.89774,0.2732,3.19425,2.9419,1
2.0311,2.09008,-1.07322,5.68494,2.81879,0
-0.55775,0.49313,-1.6168,4.13408,1.47561,1
2.62229,2.15665,-2.50754,0.09943,-0.35465,0
-2.11036,-2.58489,0.45296,3.58032,2.01184,1
2.80794,0.3759,0.0785,4.3496,2.45471,1
-1.59936,-3.49328,2.32655,1.00891,3.62051,1
-1.85258,-1.8186,1.60929,3.47002,3.30018,0
2.39486,-1.30229,0.36188,0.37229,1.6676,0
-2.66802,-2.31551,2.50854,0.78584,1.94174,1
